Date,Scheduled Match,Game,home team,away team,h,a,y1,y2,set1,set2,settot,set4/5,diffy,diffset,align,ds,dg,won1,won2,bp1,bp2,atttot1,atttot2,atterr1,atterr2,attper1,attper2,atteff1,atteff2,sertot1,sertot2,serace1,serace2,sererr1,sererr2,sereff1,sereff2,deftot1,deftot2,deferr1,deferr2,defneg1,defneg2,defper1,defper2,defeff1,defeff2,blo1,blo2,bloinv1,bloinv2,bloper1,bloper2
03/02/2018,18,104,San Casciano,Bergamo,11,1,85,79,3,0,3,0,6,3,1,0,1,48,44,20,11,149,140,13,7,63,51,0.33557047,0.314285714,84,80,5,2,8,5,-0.035714286,-0.0375,75,76,5,7,8,19,53,38,0.64,0.407894737,7,5,1,0,5,7
04/02/2018,18,105,Legnano,Piacenza,6,10,100,116,2,3,5,1,-16,-1,1,1,0,44,45,12,24,141,138,13,15,52,58,0.276595745,0.311594203,99,116,1,9,12,16,-0.111111111,-0.060344828,100,87,12,2,30,26,41,35,0.29,0.379310345,17,10,0,0,10,17
03/02/2018,18,106,Novara,Scandicci,8,12,77,63,3,0,3,0,14,3,1,0,1,39,36,22,14,110,11,4,5,51,40,0.427272727,3.181818182,75,65,1,5,7,9,-0.08,-0.061538462,56,68,9,4,11,13,17,26,0.142857143,0.323529412,6,6,0,0,6,6
04/02/2018,18,107,Conegliano,Busto Arsizio,4,2,75,53,3,0,3,0,22,3,1,0,1,26,27,29,10,87,95,6,8,37,29,0.356321839,0.221052632,73,55,7,2,7,11,0,-0.163636364,44,66,6,10,3,3,16,23,0.227272727,0.196969697,6,11,0,0,11,6
04/02/2018,18,108,Pesaro,Monza,9,7,100,103,2,3,5,1,-3,-1,1,1,0,43,49,13,22,136,170,11,13,53,64,0.308823529,0.3,100,103,2,5,9,17,-0.07,-0.116504854,86,91,8,4,17,19,43,45,0.406976744,0.450549451,10,12,1,1,12,10
10/02/2018,19,109,Piacenza,Conegliano,10,4,93,111,2,3,5,1,-18,-1,1,1,0,46,35,17,23,156,130,8,11,58,54,0.320512821,0.330769231,94,110,5,4,18,11,-0.138297872,-0.063636364,99,76,7,7,21,19,41,31,0.343434343,0.315789474,20,3,0,0,3,20
10/02/2018,19,110,Casalmaggiore,Novara,3,8,95,98,3,1,4,1,-3,2,0,0,1,47,49,17,20,156,150,13,5,61,63,0.307692308,0.386666667,95,98,3,5,9,13,-0.063157895,-0.081632653,85,86,7,6,19,23,41,37,0.4,0.360465116,6,13,0,0,13,6
11/02/2018,19,111,Busto Arsizio,San Casciano,2,11,95,81,3,1,4,1,14,2,1,0,1,53,59,26,19,146,149,13,16,58,51,0.308219178,0.234899329,94,82,3,2,6,9,-0.031914894,-0.085365854,73,88,3,6,14,15,32,37,0.397260274,0.352272727,8,8,0,0,8,8
10/02/2018,19,112,Monza,Filottrano,7,5,93,79,3,1,4,1,14,2,1,0,1,40,28,21,10,125,108,11,8,49,35,0.304,0.25,92,80,12,1,14,6,-0.02173913,-0.0625,74,78,2,15,15,15,34,27,0.432432432,0.153846154,13,12,0,0,12,13
11/02/2018,19,113,Bergamo,Pesaro,1,9,76,66,3,0,3,0,10,3,1,0,1,40,37,13,6,107,102,8,9,48,35,0.373831776,0.254901961,74,68,1,2,9,6,-0.108108108,-0.058823529,62,65,5,2,4,3,33,41,0.451612903,0.6,8,8,0,0,8,8
11/02/2018,19,114,Scandicci,Legnano,12,6,75,44,3,0,3,0,31,3,1,0,1,34,30,26,2,84,79,9,8,43,28,0.404761905,0.253164557,73,44,8,1,2,4,0.082191781,-0.068181818,40,69,1,15,6,11,17,16,0.4,0.014492754,3,9,13,8,9,3
25/02/2018,20,115,Filottrano,Bergamo,5,1,92,86,3,1,4,1,6,2,1,0,1,33,36,21,26,146,150,10,12,52,56,0.287671233,0.293333333,88,86,1,3,4,6,-0.034090909,-0.034883721,80,84,4,8,17,20,40,28,0.45,0.238095238,7,19,0,0,18,7
25/02/2018,20,116,San Casciano,Piacenza,11,10,77,66,3,0,3,0,11,3,1,0,1,38,36,8,12,123,131,9,12,44,41,0.284552846,0.221374046,76,68,1,4,8,6,-0.092105263,-0.029411765,62,68,8,2,7,10,36,44,0.451612903,0.617647059,2,9,0,0,9,2
25/02/2018,20,117,Conegliano,Scandicci,4,12,56,75,0,3,3,0,-19,-3,1,0,0,30,27,11,24,103,109,9,10,34,45,0.242718447,0.321100917,57,72,2,1,10,4,-0.140350877,-0.041666667,68,47,7,3,5,0,26,21,0.279411765,0.382978723,6,2,0,0,2,6
25/02/2018,20,118,Pesaro,Busto Arsizio,9,2,75,63,3,0,3,0,12,3,1,0,1,38,32,13,11,99,101,6,8,45,42,0.393939394,0.336633663,74,65,4,1,6,6,-0.027027027,-0.076923077,59,67,3,9,14,12,30,31,0.457627119,0.328358209,4,10,0,0,10,5
24/02/2018,20,119,Novara,Monza,8,7,97,75,3,1,4,1,22,2,1,0,1,37,29,28,19,125,126,9,8,57,40,0.384,0.253968254,96,76,6,7,9,11,-0.03125,-0.052631579,65,87,11,12,7,15,25,28,0.215384615,0.183908046,5,11,1,4,11,5
25/02/2018,20,120,Casalmaggiore,Legnano,3,6,109,108,3,2,5,1,1,1,1,1,1,51,56,28,20,173,164,9,13,72,70,0.36416185,0.347560976,109,107,7,4,9,8,-0.018348624,-0.037383178,99,100,8,15,22,17,43,42,0.353535354,0.27,13,8,0,0,8,13
05/03/2018,21,121,Busto Arsizio,Casalmaggiore,2,3,97,72,3,1,4,1,25,2,1,0,1,37,40,27,11,131,139,10,12,57,49,0.358778626,0.26618705,96,73,5,2,8,13,-0.03125,-0.150684932,60,88,2,7,10,24,31,35,0.483333333,0.318181818,2,9,0,0,9,2
04/03/2018,21,122,Conegliano,Novara,4,8,104,100,2,3,5,1,4,-1,0,1,0,54,49,32,18,157,138,10,9,67,59,0.363057325,0.362318841,106,99,12,2,12,11,0,-0.090909091,88,94,2,14,4,6,37,30,0.397727273,0.170212766,13,4,0,0,4,13
03/03/2018,21,123,Bergamo,Scandicci,1,12,83,98,1,3,4,1,-15,-2,1,0,0,47,60,12,31,145,156,4,12,56,73,0.35862069,0.391025641,84,97,0,2,6,6,-0.071428571,-0.041237113,91,78,9,3,12,5,41,41,0.351648352,0.487179487,12,7,0,0,7,12
04/03/2018,21,124,Piacenza,Monza,10,7,104,107,2,3,5,1,-3,-1,1,1,0,48,47,30,25,177,165,10,8,67,50,0.322033898,0.254545455,104,107,0,8,20,15,-0.192307692,-0.065420561,92,84,12,7,30,22,13,17,0.010869565,0.119047619,14,11,22,30,11,14
04/03/2018,21,125,Legnano,Filottrano,6,5,90,93,1,3,4,1,-3,-2,1,0,0,34,38,24,21,141,144,7,12,53,52,0.326241135,0.277777778,91,91,4,6,11,7,-0.076923077,-0.010989011,83,81,9,9,24,23,40,34,0.373493976,0.308641975,14,9,0,0,9,14
04/03/2018,21,126,San Casciano,Pesaro,11,9,75,54,3,0,3,0,21,3,1,0,1,27,28,20,11,107,112,5,13,40,34,0.327102804,0.1875,72,55,4,1,7,7,-0.041666667,-0.109090909,48,65,3,6,7,8,31,39,0.583333333,0.507692308,7,5,0,0,5,7
10/03/2018,22,127,Pesaro,Conegliano,9,4,95,90,3,1,4,1,5,2,1,0,1,48,42,22,21,139,134,11,15,51,50,0.287769784,0.26119403,94,91,6,6,11,10,-0.053191489,-0.043956044,81,83,8,10,19,23,37,38,0.358024691,0.337349398,11,10,0,0,10,11
10/03/2018,22,128,Monza,Bergamo,7,1,105,107,3,2,5,1,-2,1,0,1,1,49,29,25,19,182,132,15,7,65,47,0.274725275,0.303030303,104,108,8,1,25,15,-0.163461538,-0.12962963,93,79,4,13,14,10,41,28,0.397849462,0.189873418,15,7,0,0,7,15
10/03/2018,22,129,Casalmaggiore,Piacenza,3,10,105,103,2,3,5,1,2,-1,0,1,0,50,52,37,29,160,163,9,3,71,67,0.3875,0.392638037,106,102,4,8,8,11,-0.037735849,-0.029411765,91,98,13,9,12,22,19,26,0.065934066,0.173469388,6,12,32,19,12,6
10/03/2018,22,130,Scandicci,Busto Arsizio,12,2,110,98,3,2,5,1,12,1,1,1,1,53,43,26,18,168,165,15,11,70,57,0.327380952,0.278787879,109,97,5,3,11,9,-0.055045872,-0.06185567,88,98,5,6,11,12,58,61,0.602272727,0.56122449,6,15,0,0,15,6
10/03/2018,22,131,Filottrano,San Casciano,5,11,113,108,3,2,5,1,5,1,1,1,1,51,54,22,26,182,186,7,15,70,70,0.346153846,0.295698925,112,109,3,6,12,9,-0.080357143,-0.027522936,100,100,7,5,25,23,35,20,0.28,0.15,12,14,0,0,13,11
10/03/2018,22,132,Novara,Legnano,8,6,75,57,3,0,3,0,18,3,1,0,1,37,27,26,10,108,97,7,9,53,33,0.425925926,0.24742268,74,58,4,1,10,5,-0.081081081,-0.068965517,53,64,4,15,13,15,19,19,0.283018868,0.0625,4,4,0,0,4,4
